,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,StockTurnover,UnsoldInventoryValue
0,1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080.0,3811251.600000111,142049.0,5101919.509999817,672819.3099999522,260999.19999999265,68601.68000000001,1290667.9099997063,25.29769251494429,1.3386467348415594,26.270000000000763,Large,0.9791080783016267,79624.37
1,4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038.0,3804041.2199999536,160247.0,4819073.4899998,561512.3699999693,294438.6599999949,144929.24,1015032.2699998464,21.062809523576874,1.2668299871892184,23.189999999999717,Large,0.9768895012131336,87913.29000000001
2,17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407.0,3418303.680000034,187140.0,4538120.5999998,461140.14999999874,343854.0699999969,123780.21999999997,1119816.9199997662,24.675785830808803,1.3275943347431773,18.240000000000183,Large,0.9985752933454993,4870.08
3,3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682.0,3261197.94000002,200412.0,4475972.879999835,420050.0100000055,368242.7999999947,257032.07000000007,1214774.939999815,27.139908408021,1.3724934709114307,16.170000000000098,Large,0.9937029581221923,20535.9
4,3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109.0,3023206.0099999965,135838.0,4223107.619999799,545778.2799999802,249587.82999999094,257032.07000000007,1199901.6099998024,28.412764200403203,1.3968970708680895,21.889999999999976,Large,0.9835564662693959,49712.19
5,480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809.0,2466635.930000039,141860.0,3383912.399999831,446932.0899999966,111699.19000000374,89286.26999999999,917276.469999792,27.106980369818025,1.371873473034092,17.77000000000028,Large,1.0219798428055817,-54216.27
6,17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783.0,2177285.0800000825,69627.0,2773367.7299998864,614529.3399999689,127931.66999999544,123780.21999999997,596082.6499998039,21.49309821239711,1.2737733590677898,30.760000000001167,Large,0.9836683949535906,35558.560000000005
7,3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386.0,2088334.8399999859,148265.0,2592041.3499999368,292586.2900000212,272422.59999999555,257032.07000000007,503706.5099999509,19.43281151745373,1.2412000701956178,12.939999999999912,Large,0.9186980283295949,169785.74
8,3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835.0,1903739.5499999446,90481.0,2640491.189999873,503661.01999998535,166244.4399999911,257032.07000000007,736751.6399999282,27.902067720966855,1.3870023291788782,20.729999999999396,Large,0.9852561659498013,28068.420000000002
9,12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866.0,1773427.139999997,107061.0,2435393.389999906,426902.7800000045,196707.3499999927,123880.96999999999,661966.249999909,27.181080999810654,1.3732694933268643,16.289999999999974,Large,0.9834199842007606,29403.449999999997
10,17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205.0,1530426.1000000215,91247.0,2148965.529999884,436011.64000000386,71840.57000000247,123780.21999999997,618539.4299998623,28.783124780968254,1.4041615795756839,16.42000000000023,Large,0.9789925433184915,32150.360000000004
11,3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942.0,1498161.9600000305,61433.0,1840615.669999917,442856.1999999994,112875.18999999488,257032.07000000007,342453.7099998866,18.60538924999492,1.2285825692703343,22.380000000000454,Large,0.917704878850348,123291.42
12,480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001.0,1478001.420000022,70122.0,2189368.779999904,495957.8299999904,128839.07999999376,89286.26999999999,711367.3599998818,32.491892937283644,1.4813035700600823,21.420000000000318,Large,1.0162461413602701,-24011.820000000003
13,10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668.0,1460072.3599999887,214238.0,2326007.779999937,189608.960000001,24083.770000000124,17587.59,865935.4199999482,37.22839740458529,1.5930770581808391,6.769999999999947,Large,0.9933694382105829,9681.099999999999
14,9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951.0,1452173.3099999838,41639.0,2009508.609999904,662320.0399999671,32783.09000000064,68054.70000000003,557335.2999999202,27.734904803415937,1.3837939288389252,33.80999999999962,Large,0.9694535633629019,44358.72
15,3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596.0,1414552.9200000092,28372.0,1739044.2799999616,507291.42999999307,52133.72000000025,257032.07000000007,324491.3599999524,18.65917755699467,1.2293949949924463,44.770000000000294,Large,0.897961767312318,144338.48
16,17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645.0,1399080.1500000013,59771.0,1844950.2899999078,504735.0599999882,109817.06999999446,123780.21999999997,445870.13999990653,24.167054387136293,1.31868806086621,23.07000000000002,Large,0.9855882595432435,20163.18
17,3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249.0,1396130.770000004,65184.0,2068091.1599999268,494487.64999998966,119767.4899999969,257032.07000000007,671960.3899999228,32.49181675337496,1.4813018983887312,21.73000000000006,Large,1.0145527556849134,-20317.55
18,3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546.0,1373128.4800000344,47966.0,1884307.339999909,596574.9299999736,88129.79999999746,257032.07000000007,511178.8599998746,27.128210411784487,1.3722731466467448,28.880000000000724,Large,1.0088335506667228,-12129.6
19,3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078.0,1317439.4799999988,79042.0,1635666.5799999922,121065.25000000105,145234.94999999876,257032.07000000007,318227.09999999334,19.455499298640365,1.2415496915273814,16.659999999999986,Large,0.9995447532815701,599.76
20,480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349.0,1283470.6200000057,56888.0,1766391.1199999242,460087.94999999617,104524.53999999487,89286.26999999999,482920.4999999185,27.339386760500656,1.3762614371335717,22.3800000000001,Large,0.9919614988927444,10317.18
21,480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388.0,1277758.760000023,32945.0,1699669.5499999372,589137.7899999802,60533.42999999907,89286.26999999999,421910.7899999141,24.823106938635792,1.3301959675079094,38.27000000000069,Large,0.9867317599137415,16953.61
22,8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936.0,1208990.7200000167,61323.0,1528730.2699999334,392353.5400000135,112669.44999999387,18544.489999999998,319739.5499999167,20.915367234792217,1.2644681590276494,19.52000000000027,Large,0.9901026866442779,11965.76
23,480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878.0,1205942.9200000067,58013.0,1736610.8699999568,294049.4900000125,60913.64999999925,89286.26999999999,530667.9499999501,30.557677552712963,1.4400440030776476,20.14000000000011,Large,0.9688533351147333,37561.1
24,12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480.0,1193404.80000003,98938.0,1624366.6199999372,306439.94000002753,181782.12999999168,123880.96999999999,430961.81999990717,26.531068460390046,1.3611195631188147,11.760000000000296,Large,0.9749507292077256,29893.92
25,12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473.0,1190145.3300000117,94960.0,1554498.3999999333,307670.2000000282,174471.92999999,123880.96999999999,364353.0699999216,23.438626247536646,1.3061416625479831,12.21000000000012,Large,0.9742185015337581,30683.730000000003
26,7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088.0,1163442.7199999734,58610.0,1549701.8999999254,431497.8100000048,107685.02999999278,38994.78000000001,386259.179999952,24.924740687223174,1.3319967312185002,19.68999999999955,Large,0.9919103709721094,9411.82
27,480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389.0,1106876.6099999847,77041.0,1657809.5899999514,342678.85000002896,141551.60999999466,89286.26999999999,550932.9799999667,33.23258493154107,1.4977365814966261,14.4899999999998,Large,1.0085352603123487,-9447.48
28,8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380.0,1098336.0000000028,38506.0,1584665.4099999722,349562.0600000125,4316.360000000011,48347.26,486329.4099999694,30.6897220656806,1.442787462124494,27.20000000000007,Large,0.9535908865775137,50972.799999999996
